id,name,type,source,price,length_m,width_m,tonnage,build_year,engine_hours,engine_power_hp,engine_make,generator_kva,bow_thruster_hp,fuel_tank_liters,num_holds,hull_type,clearance_height_m,cargo_capacity_m3,double_hull,has_bow_thruster,engine_revision_year,certificate_valid,price_per_meter,price_per_ton,vessel_age,days_on_market,is_outlier,canonical_vessel_id
001e19d9-48ea-48d4-8e3e-06a095c33c37,Vera,Motorvrachtschip,gsk,780000.0,100.05,9.52,1832.0,1974.0,,1000.0,Deutz,102.0,284.0,,1.0,welded,4.45,2200.0,True,True,2021.0,True,7796.1,425.76,52.0,122,False,
0041f8ea-7f81-4d6f-8a73-ab502a9e42ed,Bobr,Duw/Sleepboot,gsk,150000.0,29.65,7.44,,1983.0,,230.0,2 x WH6A,,,,,,,,,,,True,5059.02,,43.0,122,False,
01189f71-17d0-43a6-aad9-d765bc111808,Le temps,Motorvrachtschip,gsk,390000.0,73.0,8.27,1154.0,1966.0,16000.0,820.0,Caterpillar,,270.0,,,,,,,True,2007.0,False,5342.47,337.95,60.0,122,False,
01bf2dc8-757e-404c-8f80-dd7b71e74613,Elsa,Motorvrachtschip,gtsschepen,165000.0,54.84,7.08,574.0,1956.0,22300.0,530.0,Scania,,168.0,7500.0,2.0,welded,4.2,875.0,False,True,2017.0,True,3008.75,287.46,70.0,122,False,
01d910ae-125b-41e4-adc6-3cb4b86bfb15,Sammi,Motorvrachtschip,gtsschepen,299000.0,67.0,8.2,921.0,1959.0,59000.0,811.0,Carterpillar,17.0,350.0,13000.0,1.0,welded,4.25,1400.0,False,True,2009.0,False,4462.69,324.65,67.0,122,False,
03046587-27b1-4ac0-8f95-dcdce5d630c6,Licorne,Motorvrachtschip,gtsschepen,225000.0,66.84,8.2,913.0,1957.0,44524.0,671.0,Caterpillar,,320.0,,2.0,,,1350.0,,True,,False,3366.25,246.44,69.0,122,False,
03341510-3b10-4404-8a22-20a55b843517,Rolf-Moni,Motorvrachtschip,pcshipbrokers,2495000.0,105.47,11.42,2646.0,2001.0,122337.0,1800.0,ABC,70.0,405.0,28000.0,,,5.2,,True,True,2019.0,True,23656.02,942.93,25.0,122,False,
03407b7d-44bb-4d4a-bd05-6d4c4461a907,Vertrouwen,Motorvrachtschip,pcshipbrokers,190000.0,51.95,6.59,615.0,1959.0,56210.0,400.0,Cummins,20.0,140.0,9000.0,,riveted,4.76,725.0,False,True,,True,3657.36,308.94,67.0,24,False,
036e4421-c0df-4803-bdee-f5d51e6d71ad,Fatal,Motorvrachtschip,pcshipbrokers,1350000.0,86.0,9.5,1661.0,1964.0,,,,,,,,,,,,,,,15697.67,812.76,62.0,122,False,
049e2048-6dbe-406a-b7c8-02a08fca728c,MRD-Support,Overige,pcshipbrokers,169500.0,38.7,6.55,141.0,1955.0,,149.6,Deutz,,,,,,,,,,,True,4379.84,1202.13,71.0,122,False,
05219f97-3edd-408e-a32c-c2a3e158f16e,O Salerno,Accomodatieschip,pcshipbrokers,550000.0,39.0,5.0,379.0,1963.0,,360.0,GM,20.0,,4000.0,,welded,3.45,,,,,False,14102.56,1451.19,63.0,122,False,
05254d89-0b01-4686-b112-dd69cfc9dae3,Shari,Motorvrachtschip,gsk,155000.0,49.84,6.6,500.39,1913.0,,406.0,Caterpillar ,25.0,168.0,,2.0,,4.8,,,True,,,3109.95,309.76,113.0,122,False,
05cad7be-d69c-4358-bc0c-4dc47b05a8cd,Mi Vida,Motorvrachtschip,rensendriessen,2000000.0,109.0,10.5,1750.0,1992.0,48106.0,,Caterpillar,65.0,,28000.0,,,,,,,,,18348.62,1142.86,34.0,122,False,
07e32890-cd77-431d-8e5c-d4d0faed8428,Sorrento,Motorvrachtschip,gsk,2450000.0,110.0,11.45,2722.0,1999.0,,,,,,,,,,,,,,,22272.73,900.07,27.0,122,False,
0856a285-cda6-418a-8474-04022719f7db,Saga,Motorvrachtschip,gsk,495000.0,79.82,8.2,1086.0,1961.0,48500.0,862.0,Mitsubishi,35.0,400.0,,2.0,welded,5.55,1600.0,,True,2016.0,True,6201.45,455.8,65.0,122,False,
087641b9-3e87-4b6f-9787-8a41fe0264c2,Jogo 3,Motorvrachtschip,gsk,195000.0,67.0,8.2,873.0,1943.0,52000.0,720.0,Deutz,20.0,200.0,,2.0,,4.25,1250.0,,True,,True,2910.45,223.37,83.0,122,False,
08b88172-0832-4bd8-8754-341919364425,Malayu Cybra,Koppelverband,rensendriessen,3500000.0,109.93,11.48,2138.0,1997.0,,1800.0,Wartsila,60.0,350.0,,,,,,,True,2025.0,,31838.44,1637.04,29.0,122,False,
09ba9faa-f329-4fa0-a810-ea021555089c,.,Tankschip,rensendriessen,4500000.0,110.0,11.45,,,,,,,,,,,,,,,,,40909.09,,,115,False,
09d999c3-397c-4d34-b3aa-54cf67f16689,Itinerant,,gsk,1150000.0,104.85,9.57,2204.0,1981.0,,,,,,,,,,,,,,,10968.05,521.78,45.0,122,False,
0ad6c8fd-a8b3-4d4b-ba30-f4f689aa1214,Breeze,,gsk,830000.0,79.0,8.2,1303.0,1960.0,,,,,,,,,,,,,,,10506.33,636.99,66.0,122,False,
0b87861f-a097-4c27-8bcb-8e4b09e6e25f,Atiram ,Motorvrachtschip,pcshipbrokers,585000.0,75.9,8.2,1057.0,1957.0,46300.0,640.0,Cummins,20.0,320.0,1000.0,,riveted,5.2,1470.0,,True,,True,7707.51,553.45,69.0,122,False,
0be95213-cf78-4247-9bd2-9352f106efd5,Taz,Koppelverband,gsk,2400000.0,110.0,12.54,4432.924,2000.0,,,,,,,,,,,,,,,21818.18,541.4,26.0,122,False,
0c481b7a-7e65-4588-870e-55110b307635,Agamemnon,Motorvrachtschip,pcshipbrokers,865000.0,84.91,9.52,1657.0,1978.0,,1000.0,Deutz,40.0,400.0,31000.0,,welded,,1800.0,True,True,,True,10187.26,522.03,48.0,122,False,
0d3ba6df-a20c-47a0-98c1-f139be9df0e3,Enja-D,Motorvrachtschip,gtsschepen,650000.0,80.0,8.2,1121.0,1972.0,23000.0,650.0,Volvo Penta,30.0,250.0,16000.0,1.0,welded,4.52,1500.0,,True,,True,8125.0,579.84,54.0,122,False,
0d53ac4d-3795-45c7-a457-1d3f3ac3ccc0,Folio 3652,Duwbak,gtsschepen,145000.0,50.0,9.0,720.0,1983.0,,,,,,,,,,,,,,True,2900.0,201.39,43.0,122,False,
0ed3cccb-150c-4ff1-8172-380a7314dd6b,Titan,Motorvrachtschip,gsk,950000.0,105.0,9.5,1840.0,1971.0,,800.0,Doson,35.0,420.0,,1.0,welded,4.5,,True,True,,True,9047.62,516.3,55.0,122,False,
0f6a8e0e-34ce-4a56-9282-c4363e2cff5d,Ambulant,Motorvrachtschip,gtsschepen,450000.0,79.99,8.21,1110.0,1956.0,33075.0,860.0,Mitsubishi,25.0,320.0,20000.0,2.0,mixed,5.1,1700.0,,True,,True,5625.7,405.41,70.0,17,False,
0f7ed88b-d04f-40af-a590-483f0eec42eb,KAMALIJ,Tankschip,rensendriessen,9250000.0,135.0,11.45,,,,,,,,,,,,,,,,,68518.52,,,115,False,
10464f9b-a352-494f-bd4f-57f9d6479432,Odessa,Motorvrachtschip,gsk,280000.0,60.0,7.26,711.0,1965.0,12200.0,600.0,Caterpillar ,34.0,250.0,,2.0,,5.65,1050.0,,True,,,4666.67,393.81,61.0,122,False,
1052c92c-22eb-482c-afe5-283f40dc902a,Farmsum,Motorvrachtschip,pcshipbrokers,699000.0,80.0,7.24,1234.0,1971.0,8413.0,750.0,Volvo,30.0,320.0,15000.0,,welded,5.0,1650.0,,True,,True,8737.5,566.45,55.0,80,False,
11b51048-c9f7-44c4-9d52-d136f63e2b64,VERPUS,Duw/Sleepboot,rensendriessen,1550000.0,17.0,7.0,,,,,,,,,,,,,,,,,91176.47,,,115,False,
1282f0e6-507c-4c37-880c-1ae2d62039d3,Zwaantje,Motorvrachtschip,pcshipbrokers,125000.0,55.0,7.2,632.0,1957.0,82750.0,610.0,"Detroit,",25.0,340.0,13000.0,,riveted,5.72,,,True,,False,2272.73,197.78,69.0,122,False,
13321506-0f90-4f7c-b832-0a44cb283414,Amy,Motorvrachtschip,gtsschepen,625000.0,83.0,8.2,1246.0,1956.0,18963.0,450.0,Volvo Penta,60.0,330.0,12000.0,1.0,welded,5.0,1650.0,,True,,True,7530.12,501.61,70.0,122,False,
14103bd3-4760-4de0-8647-8e604439a59a,Sméagol ,Motorvrachtschip,pcshipbrokers,350000.0,72.9,8.2,1076.0,1963.0,30000.0,811.0,Caterpillar,37.0,196.0,21000.0,,riveted,5.2,1450.0,,True,,False,4801.1,325.28,63.0,122,False,
15a7f837-96c0-4173-8b2c-52107373f450,Rumandy,Motorvrachtschip,pcshipbrokers,750000.0,80.0,8.24,1252.0,1975.0,3580.0,530.0,DAF,27.0,320.0,20000.0,,,5.3,1700.0,,True,,True,9375.0,599.04,51.0,122,False,
15abdede-c987-444f-880c-ced64bf43865,Anna,Tankschip,gsk,1550000.0,84.9,9.44,1409.929,1974.0,87858.0,1230.0,Stork Werkspoor,75.0,,,,,6.35,,,True,2018.0,True,18256.77,1099.35,52.0,122,False,
15ba879c-b25d-4cc8-a6d1-276a23ae2bfc,Imperieux,Motorvrachtschip,gsk,1795000.0,104.77,9.54,2143.0,1980.0,19000.0,1250.0,Caterpillar ,25.0,,,2.0,welded,6.0,2800.0,False,True,,True,17132.77,837.61,46.0,122,False,
15f84222-913f-46d7-8b88-8db375f63bc0,Drakar,,gsk,675000.0,79.86,8.22,1008.0,1959.0,,,,,,,,,,,,,,,8452.29,669.64,67.0,87,False,
1620b9a7-ba32-45a6-ad41-a03decf3e62b,Johanna I en Johanna II,Koppelverband,rensendriessen,5495000.0,99.78,11.45,2867.0,2009.0,77987.0,1837.0,Caterpillar,107.0,650.0,60000.0,,,,,,True,,True,55071.16,1916.64,17.0,122,False,
16dcbb5e-59c8-48be-98e0-dcf9241e6396,Fundament,Motorvrachtschip,pcshipbrokers,895000.0,84.97,8.23,1307.0,1981.0,,,,,,,,,,,,,,,10533.13,684.77,45.0,108,False,
170ff440-32c6-44b6-ba6d-1b60e335c2bf,Anne,Beunschip,gtsschepen,1480000.0,79.74,7.45,1226.0,2000.0,51600.0,639.0,Mitsubishi,60.0,320.0,25000.0,1.0,welded,5.6,851.0,True,True,2017.0,True,18560.32,1207.18,26.0,122,False,
177f3e48-fad0-49ab-ab24-2b8b06e520b0,Janny werkschip,Overige,gtsschepen,60000.0,49.94,6.58,111.0,1912.0,31023.0,245.0,Detroit Diesel,27.0,168.0,,1.0,mixed,5.78,,False,True,,True,1201.44,540.54,114.0,24,False,
189e78eb-6f6d-4cee-a857-2fc289855a95,Europa,Duw/Sleepboot,gsk,400000.0,21.0,7.55,,1948.0,,600.0,Volvo,18.5,,,0.0,,,,False,,,,19047.62,,78.0,122,False,
191c78c7-ba41-4fd9-8ac4-ad45854ae31a,Edel turquoise,Motorvrachtschip,gsk,375000.0,67.0,8.0,1330.0,,,850.0,Caterpillar,18.0,,,1.0,,,,,True,,,5597.01,281.95,,122,False,
19790c06-346c-4996-ae62-af95021a9328,DUDARO,Motorvrachtschip,rensendriessen,5895000.0,110.0,11.45,,,,,,,,,,,,,,,,,53590.91,,,115,False,
1ba8e484-6b2c-4b36-96a5-24df5a27062a,Fenny II,Motorvrachtschip,rensendriessen,3400000.0,110.0,11.45,2447.0,2011.0,44692.0,1700.0,Mitsubishi,63.0,650.0,,,,,,,True,,True,30909.09,1389.46,15.0,122,False,
1bf3fb13-d239-4270-adaf-25364a0de9d3,Nivoma,Motorvrachtschip,galle,3925000.0,135.0,11.45,3905.243,2008.0,,,,,,,1.0,,4.29,,,,,,29074.07,1005.06,18.0,2,False,
1c2e4554-45c5-4cd8-8b03-296d93f3a13c,Jesan,Woonschip,gsk,350000.0,31.0,5.05,,1931.0,,142.0,Caterpillar,14.5,,,0.0,,,,False,,,,11290.32,,95.0,122,False,
1ce1b9cd-bbe6-4367-9d2e-85e40330d02c,Navis,Motorvrachtschip,gsk,120000.0,45.0,5.0,454.0,1963.0,,330.0,Cummins,17.5,,,2.0,,4.3,,,,2018.0,True,2666.67,264.32,63.0,122,False,
1d06644d-1849-420d-99f4-a8e0b550359e,Arese,,gsk,4995000.0,135.0,11.45,4406.0,2009.0,,,,,,,,,,,,,,,37000.0,1133.68,17.0,122,False,
1d70ab4f-fecb-41e3-9b97-adbed292d3ab,STADT KÖLN,Motorvrachtschip,rensendriessen,675000.0,99.84,11.0,,,,,,,,,,,,,,,,,6760.82,,,115,False,
1dd311c5-43c2-40ba-ae3e-e1683c0a9780,Ariël,,gsk,875000.0,79.96,9.5,1350.0,1964.0,,,,,,,,,,,,,,,10942.97,648.15,62.0,122,False,
1f2033d7-38dc-41fb-8ba2-4b1a27bc60e6,Hayley-Rose,Motorvrachtschip,pcshipbrokers,235000.0,62.0,6.63,731.0,1963.0,36700.0,,Caterpillar,22.0,320.0,6000.0,,riveted,5.4,1100.0,,True,,False,3790.32,321.48,63.0,122,False,
1f54f542-c75d-4191-b069-1b0436c3af85,Sjouwer & Sjouwer I,Koppelverband,pcshipbrokers,4995000.0,190.0,11.45,5985.0,2009.0,,,,,,,,,,,,,,,26289.47,834.59,17.0,122,False,
20ded37a-7631-4661-9675-655f965ca0e4,Mission,Motorvrachtschip,rensendriessen,3800000.0,135.0,11.45,2700.0,2006.0,,1280.0,Caterpillar,,,,,,,,,,2021.0,,28148.15,1407.41,20.0,122,False,
222eddb8-fe17-4831-88d3-220c41205998,Maria,Duwbak,gtsschepen,295000.0,90.0,11.1,2021.0,1927.0,,,,,,,2.0,riveted,,3000.0,False,,,True,3277.78,145.97,99.0,122,False,
2266f022-6d33-4689-b5e1-2b82a91fd599,Falaise,Motorvrachtschip,pcshipbrokers,350000.0,73.0,8.2,1022.0,1962.0,,300.0,Scania,27.0,220.0,20000.0,,,5.25,1575.0,,True,,True,4794.52,342.47,64.0,122,False,
22a553ec-ed1f-4c77-b368-b65cad388fe1,Orion,Motorvrachtschip,pcshipbrokers,2195000.0,110.0,11.45,3215.0,1988.0,68000.0,1521.0,Caterpillar,65.0,380.0,53000.0,,welded,6.8,3700.0,,True,,True,19954.55,682.74,38.0,122,False,
233d3e41-cca7-4db4-9c5c-707c6f2377cc,Figaro,Motorvrachtschip,gtsschepen,290000.0,67.0,8.2,920.0,1956.0,,367.0,Detroit Diesel,30.0,320.0,16000.0,3.0,welded,4.9,1400.0,False,True,2006.0,False,4328.36,315.22,70.0,122,False,
2340f935-5f6a-4289-8f65-97c99e19e025,Ferox,Motorvrachtschip,gtsschepen,285000.0,70.0,7.06,862.0,1948.0,,675.0,Detroit Diesel,17.5,270.0,16000.0,2.0,welded,6.0,1325.0,,True,2005.0,True,4071.43,330.63,78.0,122,False,
24666228-d880-4591-8c12-b5aebf9852a6,Selodie,Motorvrachtschip,gsk,2350000.0,110.0,11.4,2807.54,1996.0,60300.0,1800.0,ABC,60.0,620.0,,1.0,welded,5.8,3850.0,,True,2016.0,True,21363.64,837.03,30.0,122,False,
25222086-55c6-4802-8bba-65e53dc164ea,Joost Kruijf,Tankschip,gtsschepen,150000.0,31.98,4.63,136.0,1927.0,,150.0,Volvo Penta,30.0,,,4.0,riveted,,170.0,,,,True,4690.43,1102.94,99.0,17,False,
2558fe72-3e60-4aaf-a7ab-c81d83ad0ec9,Salire,Motorvrachtschip,pcshipbrokers,1785000.0,86.0,9.5,1630.0,1980.0,,,,,,,,,,,,,,,20755.81,1095.09,46.0,87,False,
25788b89-9897-4649-8d10-99baf1db1a53,Riposa,Motorvrachtschip,pcshipbrokers,6250000.0,135.0,14.27,5040.0,2009.0,,,,,,,,,,,,,,,46296.3,1240.08,17.0,122,False,
25d6cbf4-fadc-4c38-ab91-a704c22796b2,Oli-chris,Motorvrachtschip,gsk,785000.0,80.0,8.26,1079.0,1960.0,,950.0,Mitsubishi,30.0,,,2.0,,5.8,1600.0,False,True,,True,9812.5,727.53,66.0,122,False,
269dd2c4-de49-46cd-9fd3-69f6791aa1ef,Marjolein,Motorvrachtschip,gtsschepen,325000.0,80.0,8.2,1102.0,1953.0,,720.0,Doosan,13.5,168.0,10000.0,1.0,mixed,4.65,1300.0,True,True,2013.0,True,4062.5,294.92,73.0,94,False,
280351a0-eca3-4572-8b51-e5a970b881eb,Rainbach,Motorvrachtschip,gsk,450000.0,79.8,9.48,1342.0,1962.0,18000.0,1000.0,Deutz,30.0,300.0,,2.0,,4.9,1800.0,,True,2019.0,True,5639.1,335.32,64.0,122,False,
2844b866-4912-4700-8460-ee37700e6ce1,Melmar,,gsk,1280000.0,80.0,9.0,1375.0,1983.0,,,,,,,,,,,,,,,16000.0,930.91,43.0,122,False,
298f73f6-5da0-48f2-aa1d-5dc783cebdd6,Annabell,Motorvrachtschip,pcshipbrokers,1725000.0,104.98,10.57,2369.0,1994.0,,,,,,,,,,,,,,,16431.7,728.16,32.0,122,False,
2998f087-f281-4e31-83a4-e5061442ae36,Candesso,Motorvrachtschip,rensendriessen,1925000.0,110.0,11.45,2662.0,2000.0,90000.0,1521.0,Caterpillar,,626.0,63000.0,,,,,,True,2023.0,,17500.0,723.14,26.0,122,False,
29ea6926-b269-466b-a450-11a3956cb669,Maris,Motorvrachtschip,gtsschepen,550000.0,79.82,8.2,1073.0,1957.0,9000.0,900.0,MAN,17.5,230.0,12000.0,2.0,mixed,5.3,1800.0,False,True,2022.0,True,6890.5,512.58,69.0,122,False,
2a3923c4-a89f-47c2-862d-c05de1d2d66c,Venezuela,Motorvrachtschip,pcshipbrokers,575000.0,85.85,7.26,1521.0,1964.0,15000.0,240.0,GM,35.0,220.0,14000.0,,riveted,5.95,2000.0,,True,2025.0,True,6697.73,378.04,62.0,122,False,
2adc89e3-9f55-491f-941a-45b59d2d46ec,Hunter,Motorvrachtschip,gtsschepen,190000.0,80.0,8.2,1086.0,1961.0,,500.0,Deutz,15.0,320.0,12000.0,2.0,welded,5.1,1609.0,False,True,2019.0,True,2375.0,174.95,65.0,122,False,
2b729950-cb8a-48a2-8375-7d6fe570d0b3,Bremare,Beunschip,pcshipbrokers,290000.0,64.62,7.52,800.0,1946.0,,400.0,Volvo,40.0,214.0,8500.0,,,5.8,,,True,,True,4487.77,362.5,80.0,122,False,
2bfd291a-c261-4437-b50c-13ea108a613c,Alberanto,Motorvrachtschip,pcshipbrokers,2225000.0,110.0,11.4,3003.0,1993.0,122950.0,2150.0,Caterpillar,60.0,550.0,51000.0,,,7.0,3500.0,,True,,True,20227.27,740.93,33.0,122,False,
2e147a77-08b8-4aea-abdf-4d375864fa40,Crescendo,Beunschip,pcshipbrokers,295000.0,60.0,8.2,844.0,1963.0,61300.0,730.0,Caterpillar,40.0,320.0,22000.0,,welded,6.3,,,True,,False,4916.67,349.53,63.0,122,False,
2ed04688-e85f-4514-a52c-feeae81f649d,Rea,Tankschip,gsk,2200000.0,85.99,10.0,1708.88,1927.0,11075.0,600.0,Volvo Penta,295.0,401.0,,,,5.0,,,True,,True,25584.37,1287.39,99.0,31,False,
2f060a84-a9ae-475a-b4db-57aed146cff3,Mordicus,Motorvrachtschip,pcshipbrokers,430000.0,69.96,7.16,856.0,1962.0,27853.0,650.0,Volvo,24.0,320.0,17000.0,,welded,5.33,1375.0,,True,,True,6146.37,502.34,64.0,31,False,
30436f54-89f5-471a-bb6a-64108da2072d,Amor Fide,Motorvrachtschip,gtsschepen,325000.0,62.37,6.6,752.0,1962.0,10500.0,540.0,Detroit Diesel,25.0,200.0,14000.0,1.0,mixed,4.86,1150.0,False,True,,True,5210.84,432.18,64.0,122,False,
3187b482-32ed-4500-9a31-1bb6bfc61293,Carco Grup 10,Motorvrachtschip,gtsschepen,600000.0,104.97,9.5,2285.0,1974.0,,1000.0,Deutz,,,20000.0,1.0,welded,4.9,2334.0,True,,2005.0,True,5715.92,262.58,52.0,122,False,
31c3e96a-1828-4a5c-96c6-83df6adf15bd,Carina,Beunschip,pcshipbrokers,1350000.0,69.98,8.2,1042.0,2000.0,27353.0,600.0,Volvo Penta,60.0,360.0,27000.0,,welded,5.4,,,True,,True,19291.23,1295.59,26.0,122,False,
3234036a-a902-4be2-a3e1-708356fd1c75,Loukoum,Motorvrachtschip,pcshipbrokers,495000.0,69.63,5.77,960.0,1985.0,29000.0,500.0,Volvo,25.0,240.0,12000.0,,welded,3.5,1100.0,,True,,True,7109.0,515.62,41.0,94,False,
327f84d5-e2df-4b51-81a9-31b8afb61868,Janneke,Beunschip,pcshipbrokers,1450000.0,84.66,8.25,1306.0,1980.0,18500.0,680.0,Caterpillar,42.0,320.0,24000.0,,welded,,,,True,,True,17127.33,1110.26,46.0,122,False,
332b953b-4a9c-4d41-bc3e-78ad9ad68455,Osalerno,Ponton,pcshipbrokers,50000.0,18.0,8.0,120.0,1963.0,,,,,,,,welded,3.0,,,,,False,2777.78,416.67,63.0,17,False,
33b73ff1-25a6-48da-827c-bfc1fd65476c,Aldeano,Motorvrachtschip,gtsschepen,350000.0,80.6,9.0,1361.0,1966.0,30000.0,1014.0,Caterpillar,30.0,220.0,25000.0,2.0,welded,4.35,1700.0,False,True,,True,4342.43,257.16,60.0,122,False,
346d19bc-62e0-4d5c-9ad6-1b5eaaffe57d,Treasure,Tankschip,rensendriessen,1595000.0,109.34,9.58,2016.0,1973.0,32865.0,1278.0,Mitsubishi,42.0,370.0,,,,,,,True,,,14587.53,791.17,53.0,122,False,
34d43aba-236b-48d1-96e3-e33f3bc48979,Valé,Motorvrachtschip,gsk,400000.0,69.92,7.25,887.0,1963.0,7800.0,811.0,Cummins,34.0,280.0,,2.0,welded,5.5,1300.0,,True,,True,5720.82,450.96,63.0,122,False,
34d5a464-768d-489e-abe4-9703c96854d9,Vigilate,Motorvrachtschip,gsk,3750000.0,135.0,11.45,3763.0,2006.0,46421.0,1064.0,Caterpillar,60.0,535.0,,,welded,7.0,,True,True,,True,27777.78,996.55,20.0,66,False,
35138c62-704c-4245-ac6d-d7ae61ad4403,Hermina,Motorvrachtschip,rensendriessen,2600000.0,110.0,11.4,2410.0,1994.0,24832.0,1825.0,Cummins,65.0,600.0,55000.0,,,,,,True,,True,23636.36,1078.84,32.0,122,False,
3633568a-ed94-4bfd-94a4-b64c765b7208,Skyfall,Motorvrachtschip,pcshipbrokers,650000.0,84.7,8.15,1210.0,1950.0,23700.0,800.0,MTU,34.0,320.0,16000.0,,welded,5.5,1750.0,,True,,True,7674.14,537.19,76.0,31,False,
375a2d76-b598-43f7-bcb7-00476319c82c,Custos,Motorvrachtschip,pcshipbrokers,1450000.0,85.0,9.5,1851.0,1996.0,,,,,,,,,,,,,,,17058.82,783.36,30.0,122,False,
38033496-3376-49d3-a25f-9a2bc05cb838,Antje,Duw/Sleepboot,gtsschepen,90000.0,17.57,4.31,,1940.0,,328.0,Caterpillar,30.0,,4000.0,,mixed,,,,,,True,5122.37,,86.0,24,False,
381a7d05-dd6c-4c7c-ab4d-17a1744f249c,Thanos,,gsk,180000.0,54.88,5.09,537.0,1959.0,,,,,,,,,,,,,,,3279.88,335.2,67.0,122,False,
383f10e3-dd0f-4014-bf3d-e6ce54b900bb,Tervant 159,Motorvrachtschip,gtsschepen,245000.0,53.94,7.2,707.0,1962.0,4000.0,480.0,Doosan,17.5,240.0,,2.0,mixed,5.0,1100.0,False,True,,True,4542.08,346.53,64.0,122,False,
3889756f-3830-4a7f-987c-a4d0ff154269,Serenity,Motorvrachtschip,gtsschepen,95000.0,68.0,7.22,750.0,1955.0,46647.0,600.0,GM,10.0,150.0,8000.0,2.0,mixed,5.15,,False,True,2011.0,True,1397.06,126.67,71.0,122,False,
389c94f6-49de-44ad-b631-982975f2278c,Jutter,,gsk,1650000.0,85.78,11.4,2187.0,1993.0,,,,,,,,,,,,,,,19235.25,754.46,33.0,122,False,
3b145f69-896a-4ca9-ba50-db4afe144ee9,Kemp,Motorvrachtschip,pcshipbrokers,175000.0,50.99,6.61,641.0,1963.0,,,,,,,,,,,,,,,3432.05,273.01,63.0,122,False,
